Mechanism,Injury,Contact,Cat,Value
Acceleration/cutting,ACL,NC,ACL_NC,0.14
Being tackled,ACL,C,ACL_C,0.07
Being tackled,ACL,C,ACL_C,0.11
Being tackled,All,NC,All_NC,0.47
Changing direction,All,NC,All_NC,0.09
Chasing loose ball,ACL,C,ACL_C,0.04
Chasing loose ball,ACL,NC,ACL_NC,0.02
Collision,All,C,All_C,0.03
Collision,All,C,All_C,0.22
Contact w another player,Ankle,C,Ankle_C,0.5
Contact w ball,Ankle,C,Ankle_C,0.02
Contact w floor,ACL,NC,ACL_NC,0.05
Contact w floor,Ankle,C,Ankle_C,0.04
Controlling ball,ACL,C,ACL_C,0
Controlling ball,ACL,NC,ACL_NC,0.03
Controlling ball,All,C,All_C,0
Controlling ball,All,NC,All_NC,0.1
Crossing,ACL,C,ACL_C,0
Crossing,ACL,NC,ACL_NC,0.03
Cutting,ACL,C,ACL_C,0.02
Cutting,ACL,NC,ACL_NC,0.13
Cutting_&_stopping,ACL,NC,ACL_NC,0.13
Defending ball,ACL,C,ACL_C,0.03
Defending ball,ACL,NC,ACL_NC,0.06
Direct_contact,ACL,C,ACL_C,0.09
Dribbling,ACL,C,ACL_C,0
Dribbling,ACL,NC,ACL_NC,0.02
Dribbling,ACL,C,ACL_C,0.06
Dribbling,ACL,NC,ACL_NC,0.12
Dribbling,ACL,C,ACL_C,0.06
Dribbling,ACL,NC,ACL_NC,0.1
Dribbling,Ankle,NC,Ankle_NC,0.01
Duel,All,C,All_C,0.4
Duel,All,NC,All_NC,0
Falling,Ankle,NC,Ankle_NC,0.02
Foul play,All,C,All_C,0.1
Goalkeeping,ACL,C,ACL_C,0
Goalkeeping,ACL,NC,ACL_NC,0.06
Goalkeeping,Ankle,NC,Ankle_NC,0.01
Heading,ACL,C,ACL_C,0.04
Heading,ACL,NC,ACL_NC,0.02
Heading,ACL,NC,ACL_NC,0.13
Heading,Ankle,NC,Ankle_NC,0.01
Hit by ball,All,NC,All_NC,0.04
Jumping,ACL,NC,ACL_NC,0.01
Jumping,Ankle,NC,Ankle_NC,0.02
Jumping,All,C,All_C,0
Jumping,All,NC,All_NC,0.1
Jumping,All,NC,All_NC,0.05
Kicking,ACL,C,ACL_C,0.04
Kicking,ACL,NC,ACL_NC,0.04
Kicking,ACL,NC,ACL_NC,0.13
Kicking,Ankle,C,Ankle_C,0.15
Landing,ACL,NC,ACL_NC,0.08
Landing,ACL,NC,ACL_NC,0.2
Landing,Ankle,NC,Ankle_NC,0.09
Landing,Ankle,NC,Ankle_NC,0.08
Landing,Knee,NC,Knee_NC,0.11
Landing,All,C,All_C,0.1
Landing,All,NC,All_NC,0
Landing,All,NC,All_NC,0.07
Overtraining,Knee,NC,Knee_NC,0.16
Passing,ACL,C,ACL_C,0.09
Passing,ACL,NC,ACL_NC,0.03
Passing,Ankle,NC,Ankle_NC,0.01
Passing,All,C,All_C,0
Passing,All,NC,All_NC,0.1
Pivoting,ACL,NC,ACL_NC,0.34
Pivoting & turning,Knee,NC,Knee_NC,0.08
Pressing,ACL,C,ACL_C,0.06
Pressing,ACL,NC,ACL_NC,0.21
Pressing,ACL,C,ACL_C,0.04
Pressing,ACL,NC,ACL_NC,0.28
Pressing,ACL,NC,ACL_NC,0.28
Receiving,ACL,C,ACL_C,0.02
Receiving,ACL,NC,ACL_NC,0.04
Running,ACL,C,ACL_C,0
Running,ACL,NC,ACL_NC,0.03
Running,Ankle,NC,Ankle_NC,0.04
Running,Ankle,NC,Ankle_NC,0.15
Running,Knee,NC,Knee_NC,0.02
Running,All,C,All_C,0.06
Running,All,C,All_C,0
Running,All,NC,All_NC,0.1
Running,All,NC,All_NC,0.12
Running,All,NC,All_NC,0.3
Running/Jumping,ACL,C,ACL_C,0.04
Running/Jumping,ACL,NC,ACL_NC,0.04
Shooting,ACL,C,ACL_C,0.03
Shooting,ACL,NC,ACL_NC,0.03
Shooting,Ankle,NC,Ankle_NC,0.02
Shooting,Knee,NC,Knee_NC,0.27
Shooting,All,C,All_C,0.08
Shooting,All,NC,All_NC,0.06
Shooting,Thigh,NC,Thigh_NC,0.12
Sprinting/HSR,Thigh,NC,Thigh_NC,0.53
Stretching,Ankle,NC,Ankle_NC,0.01
Stretching,Thigh,NC,Thigh_NC,0.03
Striking the ball,ACL,NC,ACL_NC,0.02
Tackle,All,C,All_C,0.3
Tackling,ACL,C,ACL_C,0.35
Tackling,ACL,NC,ACL_NC,0.16
Tackling,ACL,C,ACL_C,0.09
Tackling,ACL,NC,ACL_NC,0.06
Tackling,ACL,C,ACL_C,0.02
Tackling,Ankle,C,Ankle_C,0.54
Tackling,All,NC,All_NC,0.39
Tackling,All,C,All_C,0.1
Tackling,All,NC,All_NC,0
Tackling,All,C,All_C,0.11
Trapping,ACL,C,ACL_C,0.07
Trapping,ACL,NC,ACL_NC,0.06
Twisting/turning,Ankle,NC,Ankle_NC,0.08
Twisting/turning,All,NC,All_NC,0.08
