Study.ID,Session_gender,Ball handling,Being tackled,Blocking a shot,Chasing loose ball,Conditioning,Collision,Defending,Dribbling,Falling,Foul,General play,Goaltending,Heading,Hit by ball,Hitting fixture,In pack,Jumping,Kicked,Kicking,Landing,Overuse/chronic,Passing,Receiving,Running,Shooting,Stretching,Tackling,Turning,Twisting/turning
1,T_M,,0.284,,,,0.054,,,,,,,0.026,,,,0.016,,,0.054,0.092,,,0.154,0.062,,0.174,0.048,
29,T_M,,0.01,0.02,0.09,0.11,,0.06,0.09,,,0.32,0.07,0.04,,,,,,,,,0.06,0.04,,0.05,,0.01,,
30,T_M,,0.18,,,,0.06,,,,,,,0.05,,,,0.08,,,0.1,,,,0.21,0.16,,0.1,0.05,
35,T_M,,0.07,,,,0.03,,,0.01,,,0.02,,0.01,,,0.03,0.03,,0.03,,0.04,,0.26,0.08,0.06,0.06,,0.12
37,T_M,,0.017,0.022,0.098,0.12,,0.036,0.126,,,0.312,0.053,0.019,,,,,,,,0.099,0.051,0.035,,0.062,,0.028,,
38,T_M,0.07,0.01,0.02,0.06,0.1,,0.07,,,,0.39,0.07,0.04,,,,,,,,,0.05,0.03,,0.07,,0.01,,
1,M_M,,0.118852459,,,,0.012295082,,,,,,,0.008196721,,,,0.028688525,,,0.040983607,0.057377049,,,0.262295082,0.176229508,,0.069672131,0.147540984,
29,M_M,,0.02,0.02,0.11,0.05,,0.1,0.11,,,0.24,0.08,0.09,,,,,,,,,0.05,0.05,,0.05,,0.02,,
30,M_M,,0.23,,,,0.09,,,,,,,0.03,,,,0.07,,,0.08,,,,0.11,0.18,,0.11,0.09,
35,M_M,,0.2,,,,0.08,,,0.01,,,,0.01,,,,0.02,0.06,,0.04,,0.03,,0.16,0.03,0.06,,,0.06
37,M_M,,0.053,0.03,0.13,0.002,,0.121,0.145,,,0.12,0.085,0.121,,,,,,,,0.012,0.07,0.042,,0.47,,0.025,,
38,M_M,0.11,0.04,0.02,0.1,,,0.14,,,,0.25,0.07,0.04,,,,,,,,,0.05,0.04,,0.05,,0.03,,
29,T_G,,0.01,0.01,0.07,0.14,,0.09,0.09,,,0.32,0.05,0.02,,,,,,,,,0.06,0.02,,0.05,,0.01,,
37,T_G,,0.019,0.004,0.079,0.138,,0.052,0.131,,,0.297,0.05,0.021,,,,,,,,0.105,0.076,0.004,,0.058,,0.019,,
39,T_G,0.01,0.1,0.02,0.07,0.16,,0.1,,,,0.33,0.06,0.03,,,,,,,,,0.05,0.01,,0.03,,0.06,,
56,T_G,,0.08,,,,0.21,,,0.08,0.02,,,,,,0.05,,0.24,0.02,,0.05,,,0.24,,,,,
29,M_G,,0.02,0.02,0.12,0.05,,0.16,0.1,,,23.6,0.06,0.06,,,,,,,,,0.06,0.04,,0.04,,0.01,,
37,M_G,,0.04,0.016,0.166,0.004,,0.181,0.143,,,0.16,0.054,0.078,,,,,,,,0.037,0.054,0.047,,0.036,,0.003,,
39,M_G,0.02,0.1,0.02,0.1,0.01,,0.17,,,,0.28,0.07,0.09,,,,,,,,,0.04,0.02,,0.04,,0.04,,
56,M_G,,0.19,,,,0.15,,,0.04,0.06,,,,,0.01,0.05,,0.27,0.09,,0.12,,,0.07,,,,,
